# Z[] Mass_SF[Msun]
2.694318000000000060e-02 5.863356382819650322e+07 
2.140173199999999970e-02 7.168844007986821234e+07
1.700000000000000122e-02 8.474401111155223846e+07
1.350357999999999940e-02 7.821426433421327174e+07
1.072626999999999955e-02 6.515143413480758667e+07
8.520180000000000461e-03 7.168844007986821234e+07
6.767819999999999912e-03 8.474401111155223846e+07
5.375869999999999607e-03 5.863356382819650322e+07
4.270209999999999978e-03 7.821426433421327174e+07
3.391949999999999913e-03 7.168844007986821234e+07
2.694320000000000048e-03 5.211476430192704499e+07
2.140169999999999833e-03 5.863356382819650322e+07
1.699999999999999905e-03 5.863356382819650322e+07
1.350360000000000102e-03 5.863356382819650322e+07
1.072629999999999981e-03 5.863356382819650322e+07
8.520199999999999909e-04 5.863356382819650322e+07
6.767799999999999814e-04 5.863356382819650322e+07
5.375900000000000080e-04 5.863356382819650322e+07
4.270200000000000146e-04 6.515143413480758667e+07
3.391900000000000102e-04 7.168844007986821234e+07
2.694299999999999733e-04 5.863356382819650322e+07
2.140199999999999872e-04 6.515143413480758667e+07
1.700000000000000122e-04 5.863356382819650322e+07
1.350400000000000081e-04 5.863356382819650322e+07
1.072599999999999997e-04 5.863356382819650322e+07
